year,mv_incumbent,post_winning_incumbent_unc,country,term_lim,iid
2000,-.27292669,0,Brazil,1,6007
2000,14.747831,0,Brazil,1,6008
2000,-5.7831526,0,Brazil,1,6009
2000,39.634083,1,Brazil,1,6013
2000,24.161398,1,Brazil,1,6015
2000,.33401251,1,Brazil,1,6016
2000,-4.2840719,0,Brazil,1,6017
2000,-.31419396,0,Brazil,1,6018
2000,-14.274573,0,Brazil,1,6021
2000,-9.043601,0,Brazil,1,6022
2000,-37.284233,0,Brazil,1,6023
2000,-.35696328,0,Brazil,1,6024
2000,25.643742,0,Brazil,1,6025
2000,49.858223,0,Brazil,1,6028
2000,-19.623024,0,Brazil,1,6029
2000,-3.7683697,1,Brazil,1,6030
2000,-14.269209,0,Brazil,1,6031
2000,43.15572,1,Brazil,1,6033
2000,-8.2992668,0,Brazil,1,6034
2000,8.0132751,0,Brazil,1,6035
2000,-13.892015,0,Brazil,1,6037
2000,-25.355911,1,Brazil,1,6038
2000,14.782253,1,Brazil,1,6039
2000,-2.4323611,0,Brazil,1,6040
2000,8.9376059,1,Brazil,1,6041
2000,6.1218114,1,Brazil,1,6042
2000,13.514892,0,Brazil,1,6043
2000,17.121756,0,Brazil,1,6044
2000,13.780487,0,Brazil,1,6045
2000,14.049771,0,Brazil,1,6046
2000,17.060434,1,Brazil,1,6048
2000,7.5412183,1,Brazil,1,6049
2000,33.530281,1,Brazil,1,6050
2000,12.107677,0,Brazil,1,6052
2000,4.748404,0,Brazil,1,6054
2000,-2.4406314,0,Brazil,1,6056
2000,7.5653343,1,Brazil,1,6057
2000,100,0,Brazil,1,6058
2000,16.05691,0,Brazil,1,6059
2000,18.449396,0,Brazil,1,6060
2000,50.310028,0,Brazil,1,6061
2000,7.0516796,0,Brazil,1,6063
2000,8.5802469,0,Brazil,1,6064
2000,1.7680407,0,Brazil,1,6065
2000,-7.2914691,0,Brazil,1,6066
2000,1.120165,0,Brazil,1,6067
2000,8.0869703,0,Brazil,1,6068
2000,8.6264935,0,Brazil,1,6069
2000,23.153349,0,Brazil,1,6070
2000,-4.605618,1,Brazil,1,6072
2000,-4.4182301,0,Brazil,1,6073
2000,19.262577,1,Brazil,1,6074
2000,-5.0993204,1,Brazil,1,6075
2000,23.454103,0,Brazil,1,6076
2000,-32.711544,0,Brazil,1,6078
2000,25.635103,0,Brazil,1,6079
2000,-12.488354,1,Brazil,1,6080
2000,24.330839,0,Brazil,1,6081
2000,11.310566,0,Brazil,1,6085
2000,23.037729,1,Brazil,1,6087
2000,7.4191303,0,Brazil,1,6089
2000,39.847374,1,Brazil,1,6091
2000,34.360252,0,Brazil,1,6092
2000,40.836864,0,Brazil,1,6093
2000,19.321978,1,Brazil,1,6095
2000,1.967141,0,Brazil,1,6097
2000,-2.0035386,0,Brazil,1,6098
2000,3.7904978,0,Brazil,1,6099
2000,9.7212162,1,Brazil,1,6101
2000,1.6952276,1,Brazil,1,6103
2000,43.095222,0,Brazil,1,6104
2000,46.004791,1,Brazil,1,6106
2000,1.0542184,0,Brazil,1,6107
2000,-3.5125256,0,Brazil,1,6108
2000,8.1081066,0,Brazil,1,6109
2000,9.0520945,0,Brazil,1,6110
2000,10.552422,1,Brazil,1,6114
2000,4.2779951,1,Brazil,1,6115
2000,-5.8250546,0,Brazil,1,6116
2000,-28.958485,0,Brazil,1,6118
2000,37.278294,1,Brazil,1,6119
2000,19.911503,0,Brazil,1,6120
2000,-3.2380342,1,Brazil,1,6121
2000,2.8995156,0,Brazil,1,6122
2000,-.13051927,0,Brazil,1,6123
2000,52.941177,0,Brazil,1,6124
2000,100,1,Brazil,1,6125
2000,-15.390226,0,Brazil,1,6126
2000,-3.2326727,0,Brazil,1,6129
2000,21.326864,0,Brazil,1,6131
2000,100,0,Brazil,1,6132
2000,7.9558315,0,Brazil,1,6134
2000,.54769814,0,Brazil,1,6135
2000,12.033296,0,Brazil,1,6136
2000,-12.508345,0,Brazil,1,6137
2000,31.582842,1,Brazil,1,6138
2000,30.127251,1,Brazil,1,6139
2000,11.623013,0,Brazil,1,6140
2000,8.5324259,0,Brazil,1,6142
2000,23.815212,0,Brazil,1,6143
2000,-29.151703,0,Brazil,1,6144
2000,20.090652,1,Brazil,1,6145
2000,34.680523,1,Brazil,1,6146
2000,29.447655,0,Brazil,1,6147
2000,20.811249,0,Brazil,1,6151
2000,9.1033611,0,Brazil,1,6153
2000,18.63471,1,Brazil,1,6154
2000,15.239784,1,Brazil,1,6157
2000,.49699843,0,Brazil,1,6158
2000,-9.5447512,0,Brazil,1,6159
2000,7.2634192,1,Brazil,1,6160
2000,-21.062098,0,Brazil,1,6161
2000,-6.1218591,1,Brazil,1,6162
2000,-16.162582,0,Brazil,1,6164
2000,-7.1686149,1,Brazil,1,6165
2000,19.349661,0,Brazil,1,6166
2000,32.790592,0,Brazil,1,6167
2000,-8.2597017,0,Brazil,1,6170
2000,55.35667,0,Brazil,1,6174
2000,38.867748,0,Brazil,1,6175
2000,1.3525009,0,Brazil,1,6176
2000,-4.6145916,0,Brazil,1,6178
2000,7.6328993,0,Brazil,1,6179
2000,23.03257,1,Brazil,1,6180
2000,-14.248302,0,Brazil,1,6182
2000,-13.045433,0,Brazil,1,6184
2000,-35.071301,0,Brazil,1,6186
2000,-29.965305,0,Brazil,1,6188
2000,5.472785,0,Brazil,1,6189
2000,8.870554,0,Brazil,1,6190
2000,-1.1050433,0,Brazil,1,6193
2000,-4.4904737,0,Brazil,1,6194
2000,31.65419,0,Brazil,1,6196
2000,-24.710932,0,Brazil,1,6197
2000,-17.057371,0,Brazil,1,6198
2000,-14.290362,0,Brazil,1,6199
2000,-29.35384,0,Brazil,1,6200
2000,9.1705618,0,Brazil,1,6201
2000,-62.779903,0,Brazil,1,6204
2000,-9.7930012,0,Brazil,1,6209
2000,3.1948476,0,Brazil,1,6213
2000,24.058804,0,Brazil,1,6214
2000,-13.749302,0,Brazil,1,6216
2000,-24.676985,1,Brazil,1,6217
2000,-54.752369,0,Brazil,1,6218
2000,13.161013,1,Brazil,1,6219
2000,-33.003395,0,Brazil,1,6220
2000,-52.425133,0,Brazil,1,6222
2000,22.325563,0,Brazil,1,6223
2000,-53.769897,0,Brazil,1,6224
2000,2.8623552,0,Brazil,1,6225
2000,37.417637,0,Brazil,1,6226
2000,24.62369,0,Brazil,1,6227
2000,-18.800798,0,Brazil,1,6228
2000,-46.683727,0,Brazil,1,6229
2000,12.5,0,Brazil,1,6230
2000,3.8695722,0,Brazil,1,6231
2000,-45.071392,0,Brazil,1,6233
2000,-6.7038116,0,Brazil,1,6234
2000,10.414362,0,Brazil,1,6235
2000,6.9244146,0,Brazil,1,6237
2000,7.6930432,0,Brazil,1,6240
2000,-5.0554185,1,Brazil,1,6241
2000,-4.5403748,0,Brazil,1,6243
2000,3.1799464,0,Brazil,1,6245
2000,-12.165451,0,Brazil,1,6247
2000,-19.158072,0,Brazil,1,6248
2000,75.343895,1,Brazil,1,6250
2000,-6.7869425,0,Brazil,1,6252
2000,-41.723728,0,Brazil,1,6253
2000,43.736263,0,Brazil,1,6255
2000,18.529819,0,Brazil,1,6256
2000,-46.039944,0,Brazil,1,6257
2000,55.116116,0,Brazil,1,6258
2000,32.168068,1,Brazil,1,6259
2000,9.7239857,0,Brazil,1,6260
2000,9.830368,0,Brazil,1,6261
2000,-11.635056,1,Brazil,1,6262
2000,31.779226,0,Brazil,1,6263
2000,12.5,0,Brazil,1,6264
2000,1.1779308,0,Brazil,1,6267
2000,-16.750252,0,Brazil,1,6268
2000,44.937946,0,Brazil,1,6269
2000,49.373981,0,Brazil,1,6271
2000,-1.6840905,0,Brazil,1,6272
2000,-6.8817883,0,Brazil,1,6273
2000,.96021891,1,Brazil,1,6275
2000,-33.293354,0,Brazil,1,6277
2000,-35.651321,0,Brazil,1,6279
2000,-5.3571434,1,Brazil,1,6282
2000,-9.4443207,0,Brazil,1,6283
2000,1.9698739,0,Brazil,1,6284
2000,5.9598475,0,Brazil,1,6286
2000,3.898272,0,Brazil,1,6289
2000,-38.469322,0,Brazil,1,6290
2000,1.2931854,1,Brazil,1,6291
2000,-34.030197,0,Brazil,1,6294
2000,12.75315,0,Brazil,1,6295
2000,-25.203726,0,Brazil,1,6296
2000,51.466667,0,Brazil,1,6298
2000,9.1725798,0,Brazil,1,6300
2000,7.0878596,0,Brazil,1,6301
2000,13.014629,0,Brazil,1,6304
2000,45.512817,1,Brazil,1,6305
2000,-5.3326278,1,Brazil,1,6307
2000,-2.3567228,0,Brazil,1,6308
2000,-25.683266,0,Brazil,1,6309
2000,31.424894,0,Brazil,1,6311
2000,-6.1050358,1,Brazil,1,6319
2000,.13559163,0,Brazil,1,6320
2000,11.23533,1,Brazil,1,6322
2000,12.39067,0,Brazil,1,6325
2000,7.8423381,1,Brazil,1,6326
2000,-20.119608,1,Brazil,1,6328
2000,-12.063712,1,Brazil,1,6329
2000,15.641764,0,Brazil,1,6330
2000,-25.263157,0,Brazil,1,6333
2000,13.558615,0,Brazil,1,6334
2000,32.716652,1,Brazil,1,6335
2000,7.5192423,0,Brazil,1,6338
2000,5.062005,0,Brazil,1,6339
2000,-6.7232847,1,Brazil,1,6340
2000,-24.609842,0,Brazil,1,6342
2000,-26.780918,0,Brazil,1,6343
2000,-29.384617,0,Brazil,1,6346
2000,36.793522,1,Brazil,1,6347
2000,-16.793545,0,Brazil,1,6350
2000,12.187782,0,Brazil,1,6351
2000,2.9583216,0,Brazil,1,6352
2000,28.12599,0,Brazil,1,6353
2000,13.899199,0,Brazil,1,6355
2000,-34.237995,0,Brazil,1,6356
2000,-3.3775091,1,Brazil,1,6358
2000,-2.3991287,0,Brazil,1,6359
2000,-25.799385,0,Brazil,1,6361
2000,-2.91574,1,Brazil,1,6362
2000,-1.6996324,1,Brazil,1,6363
2000,2.4896264,0,Brazil,1,6364
2000,36.776863,0,Brazil,1,6365
2000,1.6337872,0,Brazil,1,6366
2000,-13.567841,1,Brazil,1,6367
2000,-16.973253,1,Brazil,1,6370
2000,-36.161137,1,Brazil,1,6371
2000,-15.634611,0,Brazil,1,6372
2000,22.159958,0,Brazil,1,6374
2000,-3.9509983,1,Brazil,1,6375
2000,-41.28965,0,Brazil,1,6379
2000,-7.0511909,1,Brazil,1,6380
2000,7.2893052,0,Brazil,1,6383
2000,8.5143356,0,Brazil,1,6384
2000,3.35145,0,Brazil,1,6385
2000,40.29512,0,Brazil,1,6386
2000,-31.340736,0,Brazil,1,6388
2000,-24.685854,0,Brazil,1,6391
2000,-25.64525,0,Brazil,1,6392
2000,3.1840444,0,Brazil,1,6393
2000,8.4190254,0,Brazil,1,6396
2000,22.930645,0,Brazil,1,6397
2000,-40.053761,0,Brazil,1,6398
2000,-4.9201636,0,Brazil,1,6399
2000,-75.55249,0,Brazil,1,6401
2000,2.2935777,0,Brazil,1,6402
2000,-13.683304,1,Brazil,1,6403
2000,18.4769,0,Brazil,1,6406
2000,26.544241,0,Brazil,1,6407
2000,-20.425209,0,Brazil,1,6408
2000,-18.680233,0,Brazil,1,6409
