"Data Source","World Development Indicators",

"Last Updated Date","2020-10-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bosnia and Herzegovina","BIH","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","953.135197126648","1208.52479549271","2365.33474767021","3258.11891777469","3810.54434760446","4226.44970809454","4549.07651807283","4751.13692602804","5136.51377391179","5373.2179220449","6200.65227470176","6479.67612096894","7405.05569365153","8188.0190458954","9028.82430307749","9037.34414705742","9354.55081498423","9976.49663652814","10304.0747456955","11016.5441876811","11433.162610045","12013.9199391969","12990.0158085512","13788.4820641797","14932.3732053358","15791.6747394431","",
"Belarus","BLR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5232.0782928057","5341.48526225171","4928.10880026567","4650.98823703594","4199.44034493475","3854.03197581428","4047.99073077844","4606.71959410067","5073.96193349542","5344.65821341109","5808.35742589084","6248.21138208667","6709.84550278391","7367.19377907156","8489.48408683134","9642.42979184261","10994.7667385964","12317.456496215","13885.7467208604","14050.8803091719","15349.2281346448","16543.0437300092","18071.5055962673","18948.4684736964","18955.907025082","18041.2425036167","17725.7521791512","18280.1989190642","19330.8688790098","19943.2925233137","",
"Belize","BLZ","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3335.07820318734","3771.22180016935","4251.22902543433","4547.88259398897","4558.74316160092","4564.74401070334","4566.84935963924","4638.42282210996","4682.97987357548","4978.57555264761","5558.71383648473","5765.92511348326","5963.81701290675","6467.82978221449","6781.73523619513","6945.53196031894","7307.06087190452","7347.21525572734","7554.67575555446","7439.08648798181","7563.95957988541","7684.81762197578","7272.87001468807","7226.99483075387","7170.52946398798","7244.39107837677","7179.46231905401","7108.86670023723","7287.08497750719","7295.23013575062","",
"Bermuda","BMU","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29458.4494679157","29530.0944469579","30404.4682526996","31889.811017242","32539.6097666097","34436.0924629826","35749.356982467","37807.2562003424","39433.1514954124","41124.8478835567","45554.1677206526","49379.7911943721","49099.0917085812","51379.3424760394","53635.8413651987","55869.6325069127","60404.0004077814","63432.9958000767","65267.6395049066","61945.5620287266","61837.4257306114","61550.2247919138","58563.3454110796","59474.5984816533","","","","","","","",
"Bolivia","BOL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2374.67791497559","2530.23833921954","2575.60427640047","2692.07636829814","2818.55836040366","2950.81342677844","3072.63572696419","3215.09100877978","3347.60993684381","3344.22853338675","3437.61886678804","3504.74004434982","3580.81760004146","3677.63872541367","3863.45413855963","4086.37388148136","4335.38308808235","4575.66374196378","4868.44412766514","4986.46243815293","5167.11377349367","5460.25548989959","5921.64949018019","6624.80527268489","7056.82839007831","7133.87446082853","7499.7788580239","8423.69679405991","8859.77372697949","9086.06069605746","",
"Brazil","BRA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6701.20904431983","6909.92174583214","6915.3127018945","7287.07540308775","7712.67167399525","8090.89000017257","8288.17894975527","8582.0677464321","8575.87351669118","8611.90022971288","9060.78639942992","9260.76595917983","9568.06384730739","9733.77081647566","10445.3445102854","10988.9586831226","11642.44394693","12549.9279757162","13312.7634157633","13269.1185715791","14299.5516973717","15040.0581828206","15046.2898798158","15588.7262064568","15718.5656477083","14744.1129133865","14256.1632471211","14519.8491302518","14940.6726059252","15258.8508327006","",
"Barbados","BRB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9579.67602044736","9482.19199741111","9112.07523184041","9366.7400842449","9721.58035628294","10084.891360661","10634.1716684732","11282.2311542953","11784.1165734194","11944.8123586469","12704.9356999722","12630.6649263997","12887.7319468121","13368.4473973174","13873.845692538","14815.9564397254","16098.094501173","16820.4136285575","17190.9462186958","16374.6898269173","16127.8113839058","16304.3824246065","15310.0059950864","15334.720366479","15175.4956415237","15510.824290378","15952.0703078728","15788.8205162215","16044.7277974563","16286.9795151271","",
"Brunei Darussalam","BRN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55913.6509345373","57945.700008129","60345.087648023","60249.5903903654","61767.2340779139","64188.1187531171","65587.4117428691","64190.986221505","63097.4617842894","64533.3059366804","66439.336137831","68350.5334101238","70716.7593718754","72755.7329960629","73808.5267240512","75213.7551073169","79772.6751026909","81013.4221694966","80036.11316109","78297.7071841171","80277.5456893459","83935.012512764","88247.7277373394","83787.0606229269","81373.0180738336","62541.680359491","56296.0197678199","60995.6811141379","61813.8951635958","64673.2985705505","",
"Bhutan","BTN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1507.33363780655","1540.8399369612","1648.81995161055","1727.61837614003","1854.31299483423","2016.79681883342","2140.61105395615","2251.93569430741","2357.82197753124","2522.47416206485","2696.34645571016","2923.1309911033","3229.54552812813","3480.08971362204","3723.42675594535","4056.18381321262","4412.46978627911","5302.71029146074","5608.47775894406","5972.92340139367","6693.50614855515","7295.84280502124","7912.13336694868","7989.65543098848","8666.41956699771","9500.76818875845","10457.201800922","11142.3999477275","11613.1624746864","","",
"Botswana","BWA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5682.07443900769","6124.06328472255","6270.32137823887","6375.62490329306","6583.55651111375","7022.20989724335","7388.8453517884","7953.38427878474","7897.10892465993","8597.67838895064","8784.19231315531","8830.92475711259","9347.82791600263","9790.96732798421","10144.544994843","10733.2238915879","11742.5246196849","12780.6370735427","13552.6176740727","12366.5400720519","13352.3002160668","14252.7129299669","13590.5153689947","14707.7016988473","16300.8371094018","15547.1758840484","17260.2635946998","17253.2316097939","18050.253744072","18502.8182229188","",
