country,party,party_id,social,economic
23,LMP,2309,-1.9698381087316674,-1.1562213277828843
23,DK,2311,-2.9031712672247094,-0.2228881692898419
23,Fidesz-KDNP,2302,4.16349509744509,-1.1562213277828843
23,MSZP,2301,-1.3031713625921415,-0.8895546770107892
23,JOBBIK,2308,3.0301618912683326,-0.7562214708340314
23,E14,2310,-3.6079332491888203,-0.2228881692898419
24,LRA,2414,1.1857176163659888,1.7354453229892108
24,AP!,2417,-3.1274138352407617,1.0104454183566425
24,ZZS,2405,2.5998587944970923,0.564990820883498
24,SDPS,2410,1.23622277765139,-0.8895546770107892
24,V,2412,-0.2183227202428979,2.2922633314120624
24,KPV LV,2415,0.46349528817995367,0.11044532298921084
24,JKP,2416,2.0544042923913794,1.2922633314120624
24,NA,2406,3.0544042923913794,1.2013543272006366
24,LKS,2402,1.9634952881799537,-1.6895546293270733
25,TT,2515,3.5998592713342505,-0.6168271875393527
25,LCP,2521,3.5884952881799537,-1.1117770051968243
25,LVZS,2507,3.4180403092370826,-0.8895546770107892
25,LRLS,2518,-3.1274138352407617,3.383172335623488
25,DP,2516,1.063495192812522,0.019536318777785056
25,LZP,2522,-1.7031714579595723,-0.5562211847317364
25,TS-LKD,2506,1.5998587944970923,1.8377178335177744
25,LLRA,2511,4.418040309237083,-2.0713729238522203
25,VKM-AMT,2523,-1.9253935477270283,-0.7784435129177716
25,LSDP,2501,-2.3092319628729023,-2.0713729238522203
26,Wiosnia,2621,-4.1943994423879785,-1.3895546770107892
26,PSL,2606,2.063495192812522,-0.5562211847317364
26,PO,2603,-0.36983820409909907,1.6818740987765652
26,PiS,2605,4.106352839754661,-1.9371737813961651
26,Konfederacia,2619,4.489810977266868,4.169268908499465
26,Kukiz,2617,2.5746064522729712,1.8604453229892108
26,Nowo,2618,-2.4253935477270283,2.777111830710158
26,SLD,2601,-1.4650761744512724,-0.9847928857815411
26,Lewica Razem,2620,-3.8142825028433003,-3.595436987878099
27,USR,2713,-2.4115047118200463,1.6104453229892108
27,PSD,2701,3.2134952881799537,-1.5145546770107892
27,PNL,2705,0.9634952881799537,2.360445322989211
27,PRO,2714,1.5019569733606177,-0.3562213754666006
27,ALDE,2712,1.2134952881799537,1.2437785291659686
27,UDMR,2706,1.0259952881799537,0.7979453229892108
27,PMP,2711,2.177781138704856,2.467588248251662
28,Siet,2816,-1.0365047118200463,2.860445322989211
28,LSNS,2817,4.775995288179954,-0.9520546770107892
28,MH,2813,-0.22400471182004633,0.8604453229892108
28,Za Ludi,2821,-0.03650471182004633,1.7354453229892108
28,PS,2819,-3.5365047118200463,0.11044532298921084
28,Smer-SD,2803,2.8384952881799537,-1.3895546770107892
28,KDH,2805,3.0259952881799537,1.2979453229892108
28,Sme Rodina,2818,3.4009952881799537,-0.03241175174833799
28,OLaNO,2814,1.7492094376550513,1.1104453229892108
28,SNS,2809,3.9009952881799537,-0.45205467701078916
28,SaS,2812,-1.8490047118200463,3.235445322989211
28,SPOLU,2820,-2.0365047118200463,1.2354453229892108
28,SMK-MKP,2804,2.1063523629175025,0.6489070081698749
29,SMC,2911,-0.9698381087316674,0.25330239772675966
29,AB,2913,-1.7031714579595723,-0.532411751748338
29,DeSUS,2906,0.030161891268332575,-1.603840289117112
29,LMS,2915,-0.3936476370824975,-0.24669760227324034
29,SDS,2902,3.696828875826438,2.610445322989211
29,Levica,2912,-4.036504711820046,-4.175268945695176
29,SD,2903,-2.5031714102758573,-1.8181261396420152
29,NSI,2905,2.9634952881799537,2.467588248251662
29,SNS,2907,3.430161509798606,1.418137850760207
31,HDSSB,3107,3.5089502671228248,0.17294532298921084
31,HSS,3103,-0.36983820409909907,-1.3441001749050763
31,Most,3115,3.4634952881799537,0.8831728124606473
31,HNS,3105,-3.1198380848898095,1.402111830710158
31,HKS,3119,4.441756282137473,1.1104453229892108
31,SDP,3102,-2.7448379656805204,-1.056221423150315
31,SDSS,3110,-2.1317429205907983,-2.152712521554246
31,ZZ,3116,-0.07998320074216547,-1.6990784978878644
31,HSU,3108,-0.09532829733030024,-2.12764996051909
31,NS-R,3118,-2.0819592139257592,1.1104453229892108
31,HDZ,3101,2.0884952881799537,-0.05622118473173643
31,MB 365,3117,1.0069737771020728,-1.2228879308712632
31,HSLS,3104,-1.4910502097143334,2.0687788152682636
31,IDS,3106,-3.703171338750283,0.37131482601045107
37,PN,3702,1.534924063967308,1.5390165472018564
37,PL,3701,-3.0365047118200463,1.5390165472018564
38,CSV,3801,0.9634952881799537,0.6104453229892108
38,ADR,3805,2.9634952881799537,2.110445322989211
38,PPLU,3807,-0.03650471182004633,0.6104453229892108
38,Greng,3802,-2.0365047118200463,-0.38955467701078916
38,DP,3803,-1.0365047118200463,0.6104453229892108
38,LSAP,3804,-1.0365047118200463,-0.8895546770107892
38,DL,3806,-2.5365047118200463,-3.389554677010789
40,SYM,4007,-1.5365047118200463,-0.38955467701078916
40,DISY,4001,1.4634952881799537,3.110445322989211
40,KINHMA,4008,2.4634952881799537,2.110445322989211
40,EDEK,4005,0.9634952881799537,-0.38955467701078916
40,KOP,4006,-2.0365047118200463,-0.8895546770107892
40,DIKO,4004,0.9634952881799537,1.1104453229892108
40,ELAM,4009,4.963495288179954,2.610445322989211
40,AKEL,4003,-2.5365047118200463,-2.389554677010789
